id,categoria,nombre,precio,descripcion_corta,descripcion_larga,imagen_miniatura,imagen_grande,disponible,calorias,proteinas_g,carbohidratos_g,grasas_g,alergeno_mariscos,alergeno_gluten,alergeno_lacteos,destacado
salon-vaca-demi-glace,proteinas,Salón de vaca demi-glace,3.25,Corte de vaca cocido a baja temperatura con salsa demi-glace.,"Corte de vaca cocido a baja temperatura en cocción lenta, logrando una textura muy suave y jugosa. Está delicadamente especiado y acompañado de una salsa demi-glace de sabor intenso y profundo, que realza todo su carácter.",salon-vaca-demi-glace-thumb.jpg,salon-vaca-demi-glace.jpg,true,320,35,8,16,false,false,false,true
filete-pollo-naranja,proteinas,Filete de pollo naranja,3.25,"Filete de pollo con salsa de naranja fresca, dulce y cítrica.","Filete de pollo sellado por fuera y jugoso por dentro, cubierto con una salsa de naranja fresca que aporta un sabor dulce, cítrico y ligeramente ácido. Un plato ligero y lleno de frescura.",filete-pollo-naranja-thumb.jpg,filete-pollo-naranja.jpg,true,280,32,12,10,false,false,false,true
pesca-blanca-mariscos,proteinas,Pesca blanca en salsa de mariscos,3.25,Pesca blanca con cremosa salsa de mariscos y sabor marino.,"Filete de pesca blanca suave y jugosa, acompañado de una cremosa salsa de mariscos elaborada con sabores del mar. Es un plato delicado, con un sabor marino equilibrado y una textura suave que lo hace muy agradable al paladar.",pesca-blanca-mariscos-thumb.jpg,pesca-blanca-mariscos.jpg,true,260,28,6,14,true,false,true,true
boeuf-stroganoff,proteinas,Boeuf stroganoff,3.25,Carne de res con champiñones en cremosa salsa con paprika.,"Trozos de carne de res tierna salteados con cebolla y champiñones, preparados con paprika, pimienta y un toque de vino. Todo se integra en una cremosa salsa de crema de leche, logrando un plato suave, aromático y lleno de sabor.",boeuf-stroganoff-thumb.jpg,boeuf-stroganoff.jpg,true,340,30,10,20,false,false,true,false
cubos-pollo-teriyaki,proteinas,Cubos de pollo teriyaki,3.25,"Pollo salteado en salsa teriyaki con soja, miel y jengibre.","Trozos de pollo tiernos y jugosos, salteados cuidadosamente hasta lograr un dorado perfecto y bañados en una salsa teriyaki elaborada con soja, miel y jengibre. Su sabor combina notas dulces y saladas en un equilibrio muy agradable.",cubos-pollo-teriyaki-thumb.jpg,cubos-pollo-teriyaki.jpg,true,290,29,15,12,false,true,false,false
pesca-blanca-chimichurri,proteinas,Pesca blanca con chimichurri,3.25,Pesca blanca grillada con chimichurri de hierbas frescas.,"Filete de pesca blanca grillado hasta quedar suave y jugoso, acompañado de una salsa chimichurri a base de hierbas frescas, aceite y especias. Su sabor es fresco, ligeramente intenso y muy aromático, ideal para resaltar su sabor natural.",pesca-blanca-chimichurri-thumb.jpg,pesca-blanca-chimichurri.jpg,true,230,27,4,12,false,false,false,false
solomillo-cerdo-ciruela,proteinas,Solomillo de cerdo en salsa de ciruela,3.25,"Solomillo marinado con curry, en salsa de ciruela agridulce.","Solomillo de cerdo horneado, marinado con curry y pimienta, que aporta un sabor especiado y aromático. Se acompaña de una salsa de ciruela suave, con notas dulces y ligeramente ácidas que equilibran los sabores.",solomillo-cerdo-ciruela-thumb.jpg,solomillo-cerdo-ciruela.jpg,true,310,33,14,13,false,false,false,false
medallon-pavo-relleno,proteinas,Medallón de pavo relleno,3.25,"Pavo relleno de albahaca, queso y panceta, grillado y horneado.","Medallón de pavo relleno de albahaca, queso y panceta, primero grillado para sellar su sabor y luego horneado hasta lograr una textura jugosa y tierna. Un plato aromático, equilibrado y lleno de carácter.",medallon-pavo-relleno-thumb.jpg,medallon-pavo-relleno.jpg,true,250,34,8,9,false,false,false,false
camarones-pomodoro,proteinas,Camarones pomodoro,3.25,"Camarones en salsa pomodoro de tomate, ajo y albahaca.","Camarones salteados con especias y bañados en una salsa pomodoro de tomates frescos, ajo y albahaca. Un plato aromático, jugoso y lleno de sabor mediterráneo.",camarones-pomodoro-thumb.jpg,camarones-pomodoro.jpg,true,220,25,10,8,true,false,false,true
arroz-chaufa,carbohidratos,Arroz chaufa,1.25,"Arroz frito con vegetales, cebollín y salsa de soja.","Arroz frito salteado con vegetales frescos y cebollín, en salsa de soja. Un plato de sabor intenso, equilibrado y ligeramente ahumado.",arroz-chaufa-thumb.jpg,arroz-chaufa.jpg,true,280,6,48,8,false,true,false,false
